,Avg Stars,Route,Route Type,Rating,Pitches,Length,Boulder Face,Boulder,Bouldering Sub-Area,Bouldering Area,Park Region,Park,State,Area Latitude,Area Longitude
637,2.0,Little Rascal,Boulder,V1 PG13,1,10.0,Hop Juice Boulder,Volcano Boulder Area,The Volcano Area,Virgin Islands Area,Geology Tour Road Bouldering,Joshua Tree National Park,California,34.003170000000004,-116.14908999999999
638,2.0,Struggling Man,Boulder,V0+,1,15.0,The Habanero,The Separate Boulders,The Wastelands,Queen Mountain Base,Queen Mountain Bouldering,Joshua Tree National Park,California,34.01273,-116.1793
639,2.0,Big Bud,Boulder,V0 R,1,24.0,Dripper Boulder,Human Sacrifice Cove,The Volcano Area,Virgin Islands Area,Geology Tour Road Bouldering,Joshua Tree National Park,California,34.01592,-116.17844
640,2.0,No Picnic,Boulder,V3,1,15.0,,Oskar Blues Boulder,Shark Fin Area,Virgin Islands Area,Geology Tour Road Bouldering,Joshua Tree National Park,California,34.0919,-116.15211000000001
641,2.0,PGD Arete,Boulder,V2,1,20.0,,Gizmo Boulder,,Outback Bouldering,,Joshua Tree National Park,California,33.95328,-116.08729
642,2.0,Tosspint,Boulder,V2,1,18.0,,Pac Man Rock,,East Virgin Islands,,Joshua Tree National Park,California,34.0441,-116.1061
643,2.0,Moral Wasteland,Boulder,V3,1,12.0,,The Wave Boulder,Varnished Wall Boulders,Indian Cove CG,Indian Cove Bouldering,Joshua Tree National Park,California,34.0441,-116.1061
644,2.0,Lessons In Flight,Boulder,V2,1,20.0,The Asteroid Boulder,Asteroid Boulder Area,Asteroid Belt Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.0169,-116.0421
645,2.0,Old Chub,Boulder,V0-,1,12.0,,Sidekick Boulder,Big Brother Boulders,Hall of Horrors Area,Hall of Horrors Bouldering,Joshua Tree National Park,California,33.95127,-116.07542
646,2.0,Burnt Weenie Sandwich,Boulder,V4,1,20.0,,Mushroom Boulder,Stonehenge Boulders,Stonehenge and Fry Boulders,,Joshua Tree National Park,California,34.01229,-116.17935
647,1.8,Fat Flake,Boulder,V-easy,1,14.0,,Chocolate Chip,Chocolate Boulders,Quail Springs Bouldering,,Joshua Tree National Park,California,34.012170000000005,-116.16226
648,2.0,Easy Skanking,Boulder,V0,1,12.0,,Chocolate Boulder 2,Chocolate Boulders,Quail Springs Bouldering,,Joshua Tree National Park,California,34.012240000000006,-116.17905
649,2.0,Driblet,Boulder,V4,1,12.0,,Forgotten Boulders,Trashcan Rock Area,Quail Springs Bouldering,,Joshua Tree National Park,California,33.9454,-116.07700000000001
650,2.0,Finger Food,Boulder,V3,1,14.0,,Snack Boulder,HVCG West,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.046209999999995,-116.10331000000001
651,2.0,"Whips, Chains and Lox",Boulder,V3,1,18.0,,Piano Rock,Gunsmoke Area,Barker Dam Bouldering,,Joshua Tree National Park,California,34.0441,-116.1061
652,2.0,It's Da Oooze,Boulder,V1+,1,15.0,,Black Lichen Boulder,Stonehenge Boulders,Stonehenge and Fry Boulders,,Joshua Tree National Park,California,34.0441,-116.1061
653,2.0,Tanorexia,Boulder,V-easy,1,15.0,,Fry Boulder,Fry Boulders,Stonehenge and Fry Boulders,,Joshua Tree National Park,California,33.9517,-116.07598999999999
654,2.0,Vibrator,Boulder,V2,1,15.0,,Split Boulder,King Dome Area,Hall of Horrors Bouldering,,Joshua Tree National Park,California,33.98805,-116.16103000000001
655,2.0,Unmentionable,Boulder,V3,1,15.0,,Saturday Night Live Boulder,Real Hidden Valley Circuit,Real Hidden Valley Bouldering,,Joshua Tree National Park,California,34.01177,-116.17506000000002
656,2.0,Dripper Right,Boulder,V0+,1,16.0,,Snack Boulder,HVCG West,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,33.9454,-116.07700000000001
657,2.0,Puttyface,Boulder,V4,1,15.0,,Scratch-N-Sniff Boulder,Miledi Boulders,Quail Springs Bouldering,,Joshua Tree National Park,California,33.9454,-116.07700000000001
658,2.0,Raw Heat,Boulder,V-easy,1,14.0,,No Name Boulder,Gunsmoke Area,Barker Dam Bouldering,,Joshua Tree National Park,California,34.046209999999995,-116.10331000000001
659,2.0,Skullsplitter,Boulder,V0,1,12.0,,The Wood Block,Love Nest Area,Planet X Bouldering,,Joshua Tree National Park,California,34.080709999999996,-116.24614
660,2.0,Melon Arete,Boulder,V4,1,15.0,Little Big Horn Boulder,Little Bighorn Area,Asteroid Belt Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,33.9454,-116.07700000000001
661,2.0,Rabicano,Boulder,V2,1,14.0,Little Big Horn Boulder,Little Bighorn Area,Asteroid Belt Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.01236,-116.17885
662,2.0,Silly Putty,Boulder,V1,1,15.0,,Zarmog,Hall of Horrors Area,Hall of Horrors Bouldering,,Joshua Tree National Park,California,33.9454,-116.07700000000001
663,2.0,Hop Juice,Boulder,V3,1,15.0,,Miledi Rock,,Outback Bouldering,,Joshua Tree National Park,California,33.9454,-116.07700000000001
664,2.0,Kiss of Fire,Boulder,V1,1,12.0,,Campfire Circle Boulder,HVCG South,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.046209999999995,-116.10331000000001
665,2.0,Leftward Ho,Boulder,V0-,1,20.0,,Peach Boulder,Fry Boulders,Stonehenge and Fry Boulders,,Joshua Tree National Park,California,33.9454,-116.07700000000001
666,2.0,Ten Fidy,Boulder,V0,1,15.0,,Pacifier and The Nostril,,Roadside Rocks Bouldering,,Joshua Tree National Park,California,33.95127,-116.07542
667,2.0,Gizmodo,Boulder,V1+,1,12.0,,Melon Boulder,,Roadside Rocks Bouldering,,Joshua Tree National Park,California,34.0206,-116.16207
668,2.0,Ship Wrecked,Boulder,V6,1,15.0,,Group Camp 1 Boulders,Group Campsites Road,Indian Cove Bouldering,,Joshua Tree National Park,California,33.94565,-116.05707
669,2.0,Geriatric Pickle,Boulder,V1 PG13,1,25.0,Manx Boulders - Southeast Face,Manx Boulders,Manx Boulders Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.09422,-116.15393
670,1.4,Pioneer,Boulder,V-easy,1,15.0,,Xenolithic Boulder,,Loveland Bouldering,,Joshua Tree National Park,California,34.01197,-116.15127
671,1.4,Amigo,Boulder,V-easy,1,10.0,,Value Boulder,Echo Rock Boulders,Echo Rock Bouldering,,Joshua Tree National Park,California,34.00036,-116.14668
672,1.6,Mushroom Problem,Boulder,V0-,1,12.0,,Snack Boulder,HVCG West,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,33.98594,-116.15891
673,1.6,Sweet Tooth,Boulder,V1+,1,10.0,,Unnamed Boulder,Chunky Boulder and Trance Stone,Roadside Rocks Bouldering,,Joshua Tree National Park,California,34.06262,-116.22636999999999
674,1.6,Thin Face,Boulder,V3,1,15.0,,Chocolate Boulder 1,Chocolate Boulders,Quail Springs Bouldering,,Joshua Tree National Park,California,34.06265,-116.22639
675,1.6,V0 Thin Crack,Boulder,V0,1,12.0,,All Nice On Ice,,Lonesome Crowded West,,Joshua Tree National Park,California,34.04068,-116.19807
676,1.6,Snack,Boulder,V-easy,1,10.0,,Arete Boulders,Echo Cove Bouldering,Echo Rock Bouldering,,Joshua Tree National Park,California,34.01678,-116.16358000000001
678,1.5,Retrofit,Boulder,V0,1,16.0,,Pixie Boulder,Indian Cove CG,Indian Cove Bouldering,,Joshua Tree National Park,California,34.02807,-116.14776
679,1.6,Deuce,Boulder,V-easy,1,10.0,,Teflon Boulder,The Outer Rim,Quail Springs Bouldering,,Joshua Tree National Park,California,33.98603,-116.15961000000001
680,1.5,Cornpone,Boulder,V0+,1,15.0,,Anvil Boulder,Varnished Wall Boulders,Indian Cove CG,Indian Cove Bouldering,Joshua Tree National Park,California,33.98831,-116.15795
681,1.6,Euchre,Boulder,V-easy,1,15.0,,Snack Boulder,HVCG West,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.00254,-116.14998
682,1.7,Night Train,Boulder,V2,1,14.0,,Pixie Boulder,Indian Cove CG,Indian Cove Bouldering,,Joshua Tree National Park,California,34.01167,-116.16855
683,1.7,Snack Attack,Boulder,V-easy,1,10.0,,Beak Rock,Echo Rock Boulders,Echo Rock Bouldering,,Joshua Tree National Park,California,34.01678,-116.16358000000001
684,1.7,Scratch Arete,Boulder,V0,1,18.0,,Flakey Boulder,Turtle Rock Circuit,Real Hidden Valley Bouldering,,Joshua Tree National Park,California,34.07647,-116.24316999999999
685,1.3,Unnamed,Boulder,V0+,1,10.0,,Pothole Rock,HVCG West,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.028529999999996,-116.14533999999999
687,1.8,Sportin' Wood,Boulder,V-easy,1,13.0,,Stem Gem Boulder,HVCG West,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,33.9966,-116.15785
688,1.8,Sitting Bull,Boulder,V4-,1,10.0,,Sacred Land Boulder,Painted Savage Boulders,Sacred Land,Ryan Campground Bouldering,Joshua Tree National Park,California,34.013690000000004,-116.15482
689,1.8,Medicine Man,Boulder,V0+,1,12.0,,Split Boulder,King Dome Area,Hall of Horrors Bouldering,,Joshua Tree National Park,California,34.013690000000004,-116.15482
690,1.8,Unnamed,Boulder,V-easy,1,8.0,,Chocolate Boulder 2,Chocolate Boulders,Quail Springs Bouldering,,Joshua Tree National Park,California,33.997479999999996,-116.14641
691,1.8,Blatant Disregard for Human Safety,Boulder,V1 R,1,25.0,,False Hueco Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.021770000000004,-116.16318000000001
692,1.8,Campfire Circle Mantle,Boulder,V0,1,12.0,,Dream Sequence Boulder,Lonely Stones 1,Quail Springs Bouldering,,Joshua Tree National Park,California,34.016999999999996,-116.16083
693,1.8,Reach for a Peach,Boulder,V0 R,1,25.0,,Iron Door Cave Boulder,,Outback Bouldering,,Joshua Tree National Park,California,33.98834,-116.15801
694,1.8,The Nostril,Boulder,V4,1,12.0,,Shard Boulder,Indian Wave Boulders,Barker Dam Bouldering,,Joshua Tree National Park,California,34.01867,-116.16998999999998
695,1.8,Melonizer,Boulder,V1,1,12.0,,Parking Lot Boulder,,Cap Rock Bouldering,,Joshua Tree National Park,California,34.01773,-116.1723
696,1.8,West Face Center,Boulder,V-easy,1,12.0,,Fade,Bighorn Pass Boulders,Queen Mountain Base,Queen Mountain Bouldering,Joshua Tree National Park,California,34.09705,-116.16531
697,1.3,Gambit,Boulder,V1+,1,12.0,,Horrors Boulder,Hall of Horrors Area,Hall of Horrors Bouldering,,Joshua Tree National Park,California,34.01419,-116.15821000000001
698,1.6,Greenhorn  Route,Boulder,V-easy R,1,20.0,,The Broken Boulder,AFPA Rock Area,Quail Springs Bouldering,,Joshua Tree National Park,California,34.017070000000004,-116.04227
699,1.6,Value Pack,Boulder,V2,1,12.0,,Intersection Boulder,HVCG West,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.02599,-116.15725
700,1.6,Morsel,Boulder,V-easy,1,10.0,,Little Rascal Rock,King Dome Area,Hall of Horrors Bouldering,,Joshua Tree National Park,California,34.01678,-116.16358000000001
701,1.5,Unnamed V0,Boulder,V0,1,15.0,,Equine Boulder,Jimmy Cliff Area,Lost Horse Bouldering,,Joshua Tree National Park,California,34.018370000000004,-116.16888999999999
702,1.5,Swinging Richard Direct,Boulder,V2,1,15.0,,Group Camp 1 Boulders,Group Campsites Road,Indian Cove Bouldering,,Joshua Tree National Park,California,34.06259,-116.22631000000001
703,1.5,It's All Nice on Ice,Boulder,V0,1,12.0,,Browning Boulder,JBMF Boulders,Roadside Rocks Bouldering,,Joshua Tree National Park,California,34.033,-116.1721
704,1.5,Left Arete,Boulder,V0+,1,10.0,,Creosote Wall,Western Belt,Geology Tour Road Bouldering,,Joshua Tree National Park,California,34.02492,-116.15901000000001
705,1.4,Ace,Boulder,V-easy,1,10.0,,Arete Boulders,Echo Cove Bouldering,Echo Rock Bouldering,,Joshua Tree National Park,California,33.98603,-116.15961000000001
706,1.2,Pixie Slab Center,Boulder,V-easy,1,10.0,,French Roast Boulder,,Cap Rock Bouldering,,Joshua Tree National Park,California,34.094409999999996,-116.15612
707,1.6,Desert Teflon,Boulder,V4,1,10.0,,Value Boulder,Echo Rock Boulders,Echo Rock Bouldering,,Joshua Tree National Park,California,34.08372,-116.23163999999998
709,1.7,Free as the Wind,Boulder,V1,1,15.0,,Forgotten Boulders,Trashcan Rock Area,Quail Springs Bouldering,,Joshua Tree National Park,California,34.094390000000004,-116.15423
710,1.6,Tidbit,Boulder,V-easy,1,10.0,,Hoi Polloi Boulder,Stonehenge Boulders,Stonehenge and Fry Boulders,,Joshua Tree National Park,California,34.01678,-116.16358000000001
711,1.3,Pixie Slab Left,Boulder,V0-,1,10.0,,Oak Tree Boulder,Hemingway Boulders,Lost Horse Bouldering,,Joshua Tree National Park,California,34.094409999999996,-116.15612
712,1.6,Backscratcher,Boulder,V0-,1,10.0,,Chocolate Boulder 3,Chocolate Boulders,Quail Springs Bouldering,,Joshua Tree National Park,California,34.02415,-116.1552
713,1.6,Flakey Boulder Center,Boulder,V0+,1,17.0,,Dino's Egg,,Outback Bouldering,,Joshua Tree National Park,California,34.01001,-116.16739
714,1.7,Pothole Mantel #1,Boulder,V0,1,12.0,,Scratch-N-Sniff Boulder,Miledi Boulders,Quail Springs Bouldering,,Joshua Tree National Park,California,34.016259999999996,-116.16212
715,1.7,Unnamed V6,Boulder,V6,1,7.0,,Forgotten Boulders,Trashcan Rock Area,Quail Springs Bouldering,,Joshua Tree National Park,California,34.01398,-116.15438999999999
716,1.7,There Will Be Piss,Boulder,V2,1,25.0,,Snack Boulder,HVCG West,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.01716,-116.16368
717,1.3,Coyote,Boulder,V0,1,8.0,,Zarmog,Hall of Horrors Area,Hall of Horrors Bouldering,,Joshua Tree National Park,California,33.983309999999996,-116.15085
719,1.3,Canasta,Boulder,V0-,1,10.0,Little Big Horn Boulder,Little Bighorn Area,Asteroid Belt Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.00254,-116.14998
720,1.3,Sinfully Delicious,Boulder,V-easy,1,13.0,,Campfire Crag Boulder,Indian Cove CG,Indian Cove Bouldering,,Joshua Tree National Park,California,34.06265,-116.22639
721,1.7,Problem B,Boulder,V4,1,15.0,,Bighorn Boulder,Bighorn Pass Boulders,Queen Mountain Base,Queen Mountain Bouldering,Joshua Tree National Park,California,34.01912,-116.16528999999998
722,1.7,South Arête,Boulder,V-easy,1,10.0,,Black Lichen Boulder,Stonehenge Boulders,Stonehenge and Fry Boulders,,Joshua Tree National Park,California,34.08958,-116.25335
723,1.7,IDC Problem,Boulder,V2,1,15.0,,The Broken Boulder,AFPA Rock Area,Quail Springs Bouldering,,Joshua Tree National Park,California,34.02081,-116.16521000000002
724,1.7,Smooth as a Baby's Ass,Boulder,V2,1,13.0,,Shard Boulder,Indian Wave Boulders,Barker Dam Bouldering,,Joshua Tree National Park,California,34.02663,-116.14105
725,1.7,Parking Lot Crank,Boulder,V4,1,10.0,,The Broken Boulder,AFPA Rock Area,Quail Springs Bouldering,,Joshua Tree National Park,California,33.98964,-116.16395
726,1.7,Fade,Boulder,V3,1,11.0,,The Gumdrop,Echo Rock Boulders,Echo Rock Bouldering,,Joshua Tree National Park,California,34.028459999999995,-116.12201999999999
727,1.7,Horrors Arete,Boulder,V2,1,15.0,,Pixie Boulder,Indian Cove CG,Indian Cove Bouldering,,Joshua Tree National Park,California,33.99791,-116.14705
728,1.7,Bubblebutt,Boulder,V4,1,15.0,,Oak Tree Boulder,Hemingway Boulders,Lost Horse Bouldering,,Joshua Tree National Park,California,34.04009,-116.19386999999999
729,1.7,"Intersection Boulder, Right",Boulder,V4,1,20.0,,Campfire Crag Boulder,Indian Cove CG,Indian Cove Bouldering,,Joshua Tree National Park,California,34.01512,-116.1628
730,1.7,Alfalfa,Boulder,V2,1,15.0,,Papa Boulder,Hemingway Boulders,Lost Horse Bouldering,,Joshua Tree National Park,California,34.003170000000004,-116.14908999999999
731,1.7,Brindle,Boulder,V-easy,1,11.0,,Marley Boulder,Jimmy Cliff Area,Lost Horse Bouldering,,Joshua Tree National Park,California,34.01236,-116.17885
732,1.7,West Face Left,Boulder,V-easy,1,12.0,,Cheese Boulder,,Lost Horse Bouldering,,Joshua Tree National Park,California,34.09705,-116.16531
733,1.7,Browning Arete,Boulder,V4,1,15.0,,Chocolate Boulder 1,Chocolate Boulders,Quail Springs Bouldering,,Joshua Tree National Park,California,34.01533,-116.16651999999999
734,1.7,Wafer Thin Mint,Boulder,V-easy,1,10.0,,Pixie Boulder,Indian Cove CG,Indian Cove Bouldering,,Joshua Tree National Park,California,33.9534,-116.0871
735,1.5,Arete Boulders Face,Boulder,V2,1,10.0,,The Pig Sty,Manx Boulders Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.02492,-116.15901000000001
736,1.3,House Brew,Boulder,V-easy,1,10.0,,Yabo Roof Area,JBMF Boulders,Roadside Rocks Bouldering,,Joshua Tree National Park,California,33.98935,-116.16356
737,1.5,Smear Tactics,Boulder,V0,1,15.0,,Lynn Hill Memorial Boulder,King Dome Area,Hall of Horrors Bouldering,,Joshua Tree National Park,California,34.02599,-116.15725
738,1.5,Java Junkie,Boulder,V-easy,1,10.0,,Sidekick Boulder,Big Brother Boulders,Hall of Horrors Area,Hall of Horrors Bouldering,Joshua Tree National Park,California,33.98935,-116.16356
739,1.3,Flake,Boulder,V-easy,1,15.0,,Chocolate Boulder 3,Chocolate Boulders,Quail Springs Bouldering,,Joshua Tree National Park,California,34.04068,-116.19807
740,1.4,Multi Grain,Boulder,V0,1,15.0,,The Chipped Bulge,,Ryan Campground Bouldering,,Joshua Tree National Park,California,33.98601,-116.15936
741,1.4,Oak Tree Slab,Boulder,V-easy,1,15.0,,The Broken Boulder,AFPA Rock Area,Quail Springs Bouldering,,Joshua Tree National Park,California,34.02389,-116.17714
742,1.4,Stinger,Boulder,V2,1,15.0,,Pygmy Boulder,King Dome Area,Hall of Horrors Bouldering,,Joshua Tree National Park,California,34.06269,-116.22639
743,1.4,West Face Arete,Boulder,V-easy,1,9.0,,Collieherb Boulder,,Cap Rock Bouldering,,Joshua Tree National Park,California,34.020509999999994,-116.16503999999999
744,1.4,Don't Puss,Boulder,V0-,1,18.0,,Cole Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.07647,-116.24316999999999
745,1.4,Hand Crack,Boulder,V-easy,1,15.0,,Chocolate Boulder 3,Chocolate Boulders,Quail Springs Bouldering,,Joshua Tree National Park,California,34.04068,-116.19807
746,1.3,Dollop,Boulder,V-easy,1,10.0,,Entrance Boulder,Entrance Boulder & Vicinity,Real Hidden Valley Circuit,Real Hidden Valley Bouldering,Joshua Tree National Park,California,34.01678,-116.16358000000001
747,1.5,Zarmog,Boulder,V2,1,10.0,,Campfire Crag Boulder,Indian Cove CG,Indian Cove Bouldering,,Joshua Tree National Park,California,33.997479999999996,-116.14641
748,1.0,JBMF Descent Route,Boulder,V-easy,1,10.0,,Shipwreck Boulder,Turtle Rock Circuit,Real Hidden Valley Bouldering,,Joshua Tree National Park,California,34.0152,-116.16631000000001
749,1.5,Sun Dance,Boulder,V0-,1,15.0,,Outback Crack Block,HVCG West,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.013690000000004,-116.15482
750,1.5,Embers,Boulder,V2,1,12.0,,The Dark Crystal,Western Belt,Geology Tour Road Bouldering,,Joshua Tree National Park,California,34.09495,-116.15858999999999
751,1.5,Unnamed V1,Boulder,V1,1,13.0,,Northern Headstone Boulders,,Ryan Campground Bouldering,,Joshua Tree National Park,California,34.02828,-116.12236999999999
752,1.5,One-Eyed Jack,Boulder,V-easy,1,15.0,,JBMF Boulder,JBMF Boulders,Roadside Rocks Bouldering,,Joshua Tree National Park,California,33.98603,-116.15961000000001
753,1.5,The Church of the Jack Lord,Boulder,V0- R,1,20.0,,Forgotten Boulders,Trashcan Rock Area,Quail Springs Bouldering,,Joshua Tree National Park,California,34.04009,-116.19386999999999
754,1.5,Babyface,Boulder,V-easy,1,13.0,,Trashcan Boulders,Trashcan Rock Area,Quail Springs Bouldering,,Joshua Tree National Park,California,34.02663,-116.14105
755,1.5,Press Release,Boulder,V1,1,15.0,,Cumom Rocks,Lehi's Wilderness,Indian Cove Bouldering,,Joshua Tree National Park,California,34.04009,-116.19386999999999
756,1.5,Northwest Face,Boulder,V1,1,19.0,,Under Lizzy Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.0252,-116.1541
757,1.2,Pixie Slab Right,Boulder,V-easy,1,10.0,,Garden Angel Boulder,Hall of Horrors Area,Hall of Horrors Bouldering,,Joshua Tree National Park,California,34.094409999999996,-116.15612
758,1.5,Oak Tree Mantle,Boulder,V1,1,8.0,,Ayatollah Boulder,,Cap Rock Bouldering,,Joshua Tree National Park,California,34.02389,-116.17714
759,1.5,South Face Left,Boulder,V0-,1,12.0,,Meadows Boulder,,Hall of Horrors Bouldering,,Joshua Tree National Park,California,34.09495,-116.15858999999999
760,1.5,True at First Light,Boulder,V0,1,15.0,,Adolescents Block,Love Nest Area,Planet X Bouldering,,Joshua Tree National Park,California,34.02395,-116.17707
761,1.5,Bob,Boulder,V1,1,11.0,,Anvil Boulder,Varnished Wall Boulders,Indian Cove CG,Indian Cove Bouldering,Joshua Tree National Park,California,34.012240000000006,-116.17905
762,1.5,Velveeta,Boulder,V2,1,11.0,,Collieherb Boulder,,Cap Rock Bouldering,,Joshua Tree National Park,California,34.01592,-116.17844
763,1.1,Lumpy,Boulder,V-easy,1,15.0,,Lynn Hill Memorial Boulder,King Dome Area,Hall of Horrors Bouldering,,Joshua Tree National Park,California,34.06259,-116.22631000000001
764,1.4,Pixie Problem,Boulder,V1,1,9.0,,Picture Perfect Boulder,Stonehenge Boulders,Stonehenge and Fry Boulders,,Joshua Tree National Park,California,34.094409999999996,-116.15612
765,1.3,Unnamed .6,Boulder,V-easy,1,8.0,,Hershey Kiss Boulder,HVCG East,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.01398,-116.15438999999999
766,1.4,Unnamed,Boulder,V0,1,8.0,,Big Brother Boulder,Big Brother Boulders,Hall of Horrors Area,Hall of Horrors Bouldering,Joshua Tree National Park,California,34.01468,-116.1658
767,1.4,Easy Flake,Boulder,V-easy R,1,25.0,,Lynn Hill Memorial Boulder,King Dome Area,Hall of Horrors Bouldering,,Joshua Tree National Park,California,34.00377,-116.14931999999999
768,1.4,Chum,Boulder,V4,1,12.0,,Feature Boulder (aka Fred Nicole Boulder),Inner Circle,The Underground,Queen Mountain Bouldering,Joshua Tree National Park,California,34.00036,-116.14668
769,1.4,Unnamed,Boulder,V1,1,15.0,,Hoi Polloi Boulder,Stonehenge Boulders,Stonehenge and Fry Boulders,,Joshua Tree National Park,California,34.06269,-116.22639
770,1.4,The Chipped Bulge,Boulder,V1,1,12.0,,School Boulder,HVCG West,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,33.98285,-116.15539
771,1.4,Blort,Boulder,V4,1,15.0,,Towers of Uncertainty,,Geology Tour Road Bouldering,,Joshua Tree National Park,California,34.04009,-116.19386999999999
772,1.3,Pygmy,Boulder,V0,1,8.0,,Marley Boulder,Jimmy Cliff Area,Lost Horse Bouldering,,Joshua Tree National Park,California,34.00255,-116.14985
773,1.3,Herbivore,Boulder,V2,1,15.0,,Four Corners Boulder,,Cap Rock Bouldering,,Joshua Tree National Park,California,33.9884,-116.16268000000001
774,1.3,Cole Arete,Boulder,V2,1,21.0,,Fat Lip Boulder,Indian Wave Boulders,Barker Dam Bouldering,,Joshua Tree National Park,California,34.01939,-116.16588999999999
775,1.3,Torpedo,Boulder,V0,1,15.0,,Fat Lip Boulder,Indian Wave Boulders,Barker Dam Bouldering,,Joshua Tree National Park,California,34.06269,-116.22639
776,1.3,West Face,Boulder,V-easy,1,15.0,,The Coke Machine,Semi-Precious Bouldering,Real Hidden Valley Bouldering,,Joshua Tree National Park,California,34.01256,-116.16836
777,1.3,South Face Center,Boulder,V-easy,1,12.0,,The Gumdrop,Echo Rock Boulders,Echo Rock Bouldering,,Joshua Tree National Park,California,34.09495,-116.15858999999999
778,1.3,Down with the Ship,Boulder,V-easy,1,18.0,,Necco Boulder,Echo Rock Boulders,Echo Rock Bouldering,,Joshua Tree National Park,California,34.00983,-116.16681000000001
779,1.5,Outback Crack,Boulder,V0-1,1,15.0,,Jimmy Cliff Boulder,Jimmy Cliff Area,Lost Horse Bouldering,,Joshua Tree National Park,California,34.01778,-116.1652
780,1.5,The Dark Crystal,Boulder,V4,1,12.0,,West Entrance Boulder,,Quail Springs Bouldering,,Joshua Tree National Park,California,33.95402,-116.07878000000001
781,1.5,Unnamed Overhang,Boulder,V3- R,1,9.0,,Group Camp 1 Boulders,Group Campsites Road,Indian Cove Bouldering,,Joshua Tree National Park,California,33.98475,-116.15252
782,1.5,Mukatsuku,Boulder,V0-1,1,15.0,,Shipwreck Boulder,Turtle Rock Circuit,Real Hidden Valley Bouldering,,Joshua Tree National Park,California,34.0152,-116.16631000000001
783,1.5,Name Forgotten,Boulder,V0+,1,15.0,,Cornholio Boulder,Blas Beemer Area,Lost Horse Bouldering,,Joshua Tree National Park,California,34.04068,-116.19807
784,1.5,Moai,Boulder,V0,1,9.0,,Jimmy Cliff Boulder,Jimmy Cliff Area,Lost Horse Bouldering,,Joshua Tree National Park,California,34.040259999999996,-116.19707
785,1.5,Latter Day Sinner,Boulder,V2,1,12.0,,Jimmy Cliff Boulder,Jimmy Cliff Area,Lost Horse Bouldering,,Joshua Tree National Park,California,34.09985,-116.15613
786,1.5,Problem B,Boulder,V0,1,13.0,,Marley Boulder,Jimmy Cliff Area,Lost Horse Bouldering,,Joshua Tree National Park,California,34.01907,-116.16609
787,1.5,Unnamed,Boulder,V-easy,1,10.0,,Shard Boulder,Indian Wave Boulders,Barker Dam Bouldering,,Joshua Tree National Park,California,33.99759,-116.14643000000001
789,1.5,Groovy,Boulder,V1,1,9.0,Tour Boulder One,Tour Boulders,Lechlinksi Cracks Area,Virgin Islands Area,Geology Tour Road Bouldering,Joshua Tree National Park,California,33.98814,-116.16098999999998
790,1.5,Mouse in the House,Boulder,V6,1,25.0,,Fat Lip Boulder,Indian Wave Boulders,Barker Dam Bouldering,,Joshua Tree National Park,California,33.99418,-116.14301
791,1.5,Kids of the Black Hole,Boulder,V0,1,12.0,,Seven Grain Boulder,Stonehenge Boulders,Stonehenge and Fry Boulders,,Joshua Tree National Park,California,33.99585,-116.15823999999999
792,1.5,Shadow Zone,Boulder,V0 PG13,1,10.0,,Trance Stone,Chunky Boulder and Trance Stone,Roadside Rocks Bouldering,,Joshua Tree National Park,California,34.094390000000004,-116.15423
794,1.5,Border Collie,Boulder,V2,1,15.0,,Maverick Boulder,Stonehenge Boulders,Stonehenge and Fry Boulders,,Joshua Tree National Park,California,33.9884,-116.16268000000001
795,1.5,Lounge Act,Boulder,V2,1,25.0,,Seven Grain Boulder,Stonehenge Boulders,Stonehenge and Fry Boulders,,Joshua Tree National Park,California,34.00377,-116.14931999999999
