,Avg Stars,Route,Route Type,Rating,Pitches,Length,Boulder Face,Boulder,Bouldering Sub-Area,Bouldering Area,Park Region,Park,State,Area Latitude,Area Longitude
378,2.0,Wormhole,Boulder,V0+ R,1,20.0,,Master Boulder,,Ryan Campground Bouldering,,Joshua Tree National Park,California,33.99712,-116.15523
379,2.1,Patina,Boulder,V2,1,12.0,,Lynn Hill Memorial Boulder,King Dome Area,Hall of Horrors Bouldering,,Joshua Tree National Park,California,34.0229,-116.16413999999999
381,2.3,Squirm,Boulder,V5,1,11.0,,Chocolate Roof,Chocolate Boulders,Quail Springs Bouldering,,Joshua Tree National Park,California,33.9861,-116.15981000000001
382,2.1,Powell Pinch,Boulder,V2,1,12.0,,Family Boulder,,Outback Bouldering,,Joshua Tree National Park,California,33.986940000000004,-116.16385
383,1.2,Wannabe,Boulder,V-easy,1,10.0,,Xenolithic Boulder,,Loveland Bouldering,,Joshua Tree National Park,California,33.984140000000004,-116.1525
384,2.3,Double Orifice,Boulder,V4,1,10.0,,Showstopper Rock,Real Hidden Valley Circuit,Real Hidden Valley Bouldering,,Joshua Tree National Park,California,34.01889,-116.16214
385,2.3,The Mantler,Boulder,V-easy PG13,1,20.0,,False Hueco Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.00027,-116.12177
386,1.7,Hensel Face,Boulder,V0,1,15.0,,Jimmy Cliff Boulder,Jimmy Cliff Area,Lost Horse Bouldering,,Joshua Tree National Park,California,34.018240000000006,-116.16346000000001
387,2.3,Base Layer,Boulder,V1,1,10.0,,Strawberry Contraceptives Boulder,The Hang,Planet X Bouldering,,Joshua Tree National Park,California,33.9664,-116.0872
388,2.3,Dwarf Toss,Boulder,V5,1,7.0,,JBMF Boulder,JBMF Boulders,Roadside Rocks Bouldering,,Joshua Tree National Park,California,33.99776,-116.14626000000001
389,2.3,Under the Garden Angel Left,Boulder,V1,1,10.0,,Mel's Diner Boulder,,Lost Horse Bouldering,,Joshua Tree National Park,California,33.99759,-116.14643000000001
390,2.3,Problem A,Boulder,V4+,1,10.0,,The Pig Sty,Manx Boulders Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.01912,-116.16528999999998
391,2.3,Mulligan Slab,Boulder,V4,1,12.0,,Chuckawalla Boulder,,Outback Bouldering,,Joshua Tree National Park,California,33.99418,-116.14301
392,1.8,Hoi Polloi,Boulder,V0,1,20.0,,The Dwarf,Hall of Horrors Area,Hall of Horrors Bouldering,,Joshua Tree National Park,California,33.98601,-116.15936
393,2.3,Gibbs Arete,Boulder,V0,1,14.0,The Asteroid Boulder,Asteroid Boulder Area,Asteroid Belt Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,33.983000000000004,-116.15545
394,2.3,Death Spiral,Boulder,V3 PG13,1,25.0,,Pumping Monzonite Boulder,,Cap Rock Bouldering,,Joshua Tree National Park,California,34.00377,-116.14931999999999
395,1.8,Diamond in the Rough,Boulder,V-easy,1,12.0,,Anvil Boulder,Varnished Wall Boulders,Indian Cove CG,Indian Cove Bouldering,Joshua Tree National Park,California,33.98595,-116.15924
396,2.3,Chocolate Roof Center,Boulder,V5,1,12.0,,Kranium Bloc,Inner Circle,The Underground,Queen Mountain Bouldering,Joshua Tree National Park,California,34.06041,-116.22496000000001
397,2.3,How's Your Papa?,Boulder,V4,1,10.0,Tour Boulder Two,Tour Boulders,Lechlinksi Cracks Area,Virgin Islands Area,Geology Tour Road Bouldering,Joshua Tree National Park,California,34.02065,-116.16221000000002
398,2.3,Browning Slab,Boulder,V0+ R,1,20.0,,Papa Boulder,Hemingway Boulders,Lost Horse Bouldering,,Joshua Tree National Park,California,34.017070000000004,-116.04227
399,2.3,Showstopper,Boulder,V3,1,15.0,Manx Boulders - Southeast Face,Manx Boulders,Manx Boulders Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.01419,-116.16843
400,2.2,In Through The Outdoor,Boulder,V3+,1,15.0,The Asteroid Boulder,Asteroid Boulder Area,Asteroid Belt Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.01912,-116.16528999999998
401,2.3,Give Thanx,Boulder,V-easy,1,15.0,Manx Boulders - Southeast Face,Manx Boulders,Manx Boulders Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.01273,-116.1793
402,2.2,Unknown,Boulder,V1,1,11.0,,Billboard Buttress,,Indian Cove Campground,,Joshua Tree National Park,California,33.99762,-116.15423999999999
403,2.2,Hensel Face,Boulder,V2,1,15.0,,Laura Scudder Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.0152,-116.16631000000001
404,2.0,Mel's Traverse,Boulder,V-easy,1,30.0,,Land of the Lost Boulder,Echo Cove Bouldering,Echo Rock Bouldering,,Joshua Tree National Park,California,34.0283,-116.18198999999998
405,2.0,Unnamed V0,Boulder,V0,1,13.0,,Split Boulder,King Dome Area,Hall of Horrors Bouldering,,Joshua Tree National Park,California,34.01398,-116.15438999999999
406,2.3,Medium Chuckie,Boulder,V4,1,10.0,,The Gumdrop,Echo Rock Boulders,Echo Rock Bouldering,,Joshua Tree National Park,California,34.020559999999996,-116.16505
407,2.3,Lazy Day Problem,Boulder,V-easy,1,10.0,,Wedge Boulder,Turtle Rock Circuit,Real Hidden Valley Bouldering,,Joshua Tree National Park,California,33.99776,-116.14626000000001
408,2.2,Optigrip,Boulder,V3,1,15.0,,Illicit Sweetie Boulder,The Hang,Planet X Bouldering,,Joshua Tree National Park,California,34.01197,-116.15127
409,2.3,South Arete,Boulder,V0- R,1,20.0,,Sacred Land Boulder,Painted Savage Boulders,Sacred Land,Ryan Campground Bouldering,Joshua Tree National Park,California,33.9877,-116.1613
410,2.2,Forged in Fire,Boulder,V1,1,10.0,,Facet Boulder,,Ryan Campground Bouldering,,Joshua Tree National Park,California,34.094390000000004,-116.15423
411,2.3,Kranium Center,Boulder,V3,1,8.0,,Voices Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.06942,-116.09196000000001
412,2.3,Tour of Duty,Boulder,V2+,1,15.0,,Wedge Boulder,Turtle Rock Circuit,Real Hidden Valley Bouldering,,Joshua Tree National Park,California,33.94182,-116.07845
413,2.3,The Snows of Kilimanjaro,Boulder,V1,1,15.0,,Cap Rock,,Cap Rock Bouldering,,Joshua Tree National Park,California,34.02395,-116.17707
414,1.7,Wrangler,Boulder,V2,1,12.0,,Powell Boulder,,Outback Bouldering,,Joshua Tree National Park,California,34.01419,-116.15821000000001
415,1.7,Ceres,Boulder,V-easy,1,15.0,,Chunky Boulder,Chunky Boulder and Trance Stone,Roadside Rocks Bouldering,,Joshua Tree National Park,California,34.01197,-116.15127
416,2.0,Thingamajump,Boulder,V1,1,15.0,,Purina Wall,,Outback Bouldering,,Joshua Tree National Park,California,34.01419,-116.15821000000001
417,2.0,Crack Alley,Boulder,V1-2,1,15.0,,Melon Boulder,,Roadside Rocks Bouldering,,Joshua Tree National Park,California,34.0935,-116.1561
418,2.0,Laura Scudder,Boulder,V2,1,12.0,Manx Boulders - Northwest Face,Manx Boulders,Manx Boulders Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.01896,-116.16561999999999
419,1.9,Unnamed,Boulder,V1,1,12.0,,The Hatrack,,Cap Rock Bouldering,,Joshua Tree National Park,California,34.0261,-116.15843999999998
420,2.0,Faro,Boulder,V1,1,15.0,,Turnbuckle Rock,Turtle Rock Circuit,Real Hidden Valley Bouldering,,Joshua Tree National Park,California,34.00254,-116.14998
421,2.0,West Corner,Boulder,V0,1,15.0,,Intersection Rock,HVCG West,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.0252,-116.1541
422,1.5,Descent Route,Boulder,V-easy,1,15.0,,Chocolate Boulder 3,Chocolate Boulders,Quail Springs Bouldering,,Joshua Tree National Park,California,34.00972,-116.16725
423,1.8,X Offender,Boulder,V2,1,18.0,,Chocolate Chip,Chocolate Boulders,Quail Springs Bouldering,,Joshua Tree National Park,California,33.998020000000004,-116.15351000000001
