,Unnamed: 0,date,price,volume_estimated,RSI_14_2h,SMA_20_2h,Bollinger_Upper_2h,Bollinger_Lower_2h,sell,stoploss,buy,SMA_10,SMA_50,sma_10_sma50,volatility
378,378,2024-11-20 08:00:00,0.2540854768295315,35.35041259903077,44.11844502103674,0.2904772265527917,0.3634086339201293,0.2175458191854541,False,False,False,0.26324694090077905,0.3135175097221293,-0.050270568821350226,0.1458628147346752
379,379,2024-11-20 10:00:00,0.2345949447592595,19.49053207027199,41.34087693548309,0.285912689558432,0.360911038890697,0.210914340226167,False,False,False,0.25701345252839636,0.31240423558224056,-0.055390783053844206,0.14999669866452997
380,380,2024-11-20 12:00:00,0.2376655921337266,3.070647374467106,41.96082693885624,0.2803694920063566,0.3522025516628969,0.2085364323498162,False,False,False,0.25290697633593273,0.3114868553040375,-0.05857987896810479,0.14366611931308068
381,381,2024-11-20 14:00:00,0.2483108041130604,10.645211979333796,44.16397968699678,0.2765723516885166,0.3466452810774552,0.206499422299578,False,False,False,0.24706587445861147,0.31075612600355873,-0.06369025154494726,0.1401458587778772
382,382,2024-11-20 16:00:00,0.2321006161418473,16.210187971213095,41.57586730509804,0.2710146115531145,0.3362862828737217,0.2057429402325073,False,False,False,0.24341248566366844,0.3097082456565886,-0.06629575999292017,0.1305433426412144
383,383,2024-11-20 18:00:00,0.2189279676683428,13.172648473504497,39.54769059373219,0.2664463042183937,0.3329208472013995,0.1999717612353879,False,False,False,0.238068267156269,0.30879819256331126,-0.07072992540704226,0.13294908596601157
384,384,2024-11-20 20:00:00,0.2840595065579881,65.13153888964531,52.01272503877759,0.2661838224593057,0.3323188450012285,0.2000487999173828,False,False,False,0.24193662883071032,0.3087048544615873,-0.06676822563087698,0.13227004508384568
385,385,2024-11-20 22:00:00,0.297964264492437,13.904757934448895,54.18466697451135,0.2650977539540195,0.3281761636879447,0.2020193442200943,False,False,False,0.2483595157788693,0.3082328031299749,-0.059873287351105614,0.12615681946785043
386,386,2024-11-21 00:00:00,0.3064659480365765,8.501683544139492,55.51055039848265,0.2648068326029861,0.3270166050541599,0.2025970601518122,False,False,False,0.25329101849632707,0.307890968330274,-0.05459994983394695,0.12441954490234772
387,387,2024-11-21 02:00:00,0.2938757999097722,12.590148126804312,53.06157071147966,0.2635083101078582,0.3218443767619023,0.205172243453814,False,False,False,0.26080509206425423,0.3076730658598718,-0.04686797379561758,0.11667213330808832
388,388,2024-11-21 04:00:00,0.3224884329696884,28.61263305991618,57.63582279303596,0.2654461642895244,0.3289562748741351,0.2019360537049137,False,False,False,0.2676453876782699,0.30753068731638883,-0.03988529963811893,0.1270202211692214
389,389,2024-11-21 06:00:00,0.3069797881730634,15.508644796625005,54.53371196950528,0.2659486622740233,0.3306553818682825,0.2012419426797642,False,False,False,0.2748838720196503,0.3077829305079721,-0.03289905848832181,0.12941343918851833
390,390,2024-11-21 08:00:00,0.3655756930913294,58.59590491826605,62.7019600779295,0.2702909292256716,0.3487941988754504,0.1917876595758928,False,False,False,0.2876748821154106,0.30850187118557687,-0.02082698907016628,0.15700653929955757
391,391,2024-11-21 10:00:00,0.3561055595344747,9.47013355685472,60.80078492563306,0.2727601160580817,0.3588300129680778,0.1866902191480856,False,False,False,0.29845435765755196,0.30822533109741257,-0.009770973439860609,0.17213979381999223
392,392,2024-11-21 12:00:00,0.3675948346410802,11.489275106605524,62.29449722366958,0.2777081325855718,0.3735974051379355,0.1818188600332082,False,False,False,0.31200377950747527,0.3080898458528325,0.003913933654642765,0.19177854510472728
393,393,2024-11-21 14:00:00,0.3398623633675304,27.73247127354983,56.68012724045212,0.2810827431168315,0.3808529730991984,0.1813125131344645,False,False,False,0.324097219077394,0.30782922712853045,0.01626799194886358,0.1995404599647339
394,394,2024-11-21 16:00:00,0.4208419961600341,80.9796327925037,66.24641027155835,0.2898560484341544,0.4059324488376842,0.1737796480306247,True,False,False,0.3377754680375986,0.3091003842910076,0.028675083746591,0.2321528008070595
395,395,2024-11-21 18:00:00,0.4193812852701926,1.46071088984151,65.96344539433397,0.2991383429471217,0.4255497518083276,0.1727269340859157,False,False,False,0.34991717011537415,0.31018644235556975,0.03973072775980441,0.2528228177224119
396,396,2024-11-21 20:00:00,0.399818672908,19.56261236219259,62.1355704746596,0.3062717305494218,0.4386667862949086,0.1738766748039349,False,False,False,0.3592524426025165,0.31126618700334324,0.047986255599173244,0.26479011149097365
